Timestep,Probs
1,"[0.3216783216783218, 0.33566433566433573, 0.3426573426573427]"
2,"[0.3188405797101448, 0.34057971014492733, 0.34057971014492733]"
3,"[0.2941176470588234, 0.35294117647058787, 0.35294117647058787]"
4,"[0.3173076923076924, 0.3653846153846156, 0.3173076923076924]"
5,"[0.3225806451612901, 0.3548387096774191, 0.3225806451612901]"
6,"[0.2976190476190478, 0.3809523809523812, 0.3214285714285716]"
7,"[0.30666666666666687, 0.3600000000000003, 0.3333333333333336]"
8,"[0.3076923076923076, 0.323076923076923, 0.36923076923076914]"
9,"[0.31147540983606586, 0.3278688524590167, 0.3606557377049184]"
10,"[0.2978723404255316, 0.2978723404255316, 0.40425531914893575]"
11,"[0.2558139534883722, 0.30232558139534904, 0.4418604651162795]"
12,"[0.2558139534883722, 0.30232558139534904, 0.4418604651162795]"
13,"[0.24390243902438993, 0.31707317073170693, 0.4390243902439019]"
14,"[0.24324324324324298, 0.35135135135135087, 0.4054054054054048]"
15,"[0.2627737207562469, 0.29927007086128105, 0.43795620838247157]"
16,"[0.24800000000000003, 0.31200000000000006, 0.44000000000000017]"
17,"[0.999497059134943, 0.00025147043252868263, 0.00025147043252868263]"
18,"[5.0227266017796835e-9, 0.0, 0.9999999949772729]"
19,"[0.0, 0.0, 0.9999999999999986]"
20,"[0.0, 0.0, 1.0000000000000038]"
