Timestep,Probs
1,"[0.3349282296650728, 0.3277511961722498, 0.33732057416268046]"
2,"[0.49271663431869445, 0.4430487399844497, 0.06423462569685744]"
3,"[0.49074272215907383, 0.5014350612566268, 0.007822216584298313]"
4,"[0.4862309230201321, 0.5129002601704311, 0.000868816809437185]"
5,"[0.496116218855973, 0.5037757397665521, 0.00010804137747497932]"
6,"[0.4875601811853561, 0.5074007122835547, 0.005039106531087284]"
7,"[0.5024547517555668, 0.4962529655108257, 0.001292282733606704]"
8,"[0.6557938194881402, 0.34331442515326216, 0.0008917553585978556]"
9,"[0.6716679745052866, 0.32812948801727215, 0.00020253747744315438]"
10,"[0.19794760096387692, 0.8017241770829773, 0.0003282219531467159]"
11,"[0.017885918065570796, 0.982114079125087, 2.809337819365028e-9]"
12,"[0.003918661269430835, 0.9960813387305705, 3.6004300370670306e-18]"
13,"[0.0007694569745958755, 0.9992305430254037, 4.3448177168158453e-38]"
14,"[0.012267954574706518, 0.9877320397075411, 5.717754914051335e-9]"
15,"[0.015450022813358005, 0.9845499771866284, 1.3341500505977225e-14]"
16,"[0.0011896394742376064, 0.9988103605257592, 8.591494445714908e-21]"
17,"[8.644745087778103e-9, 0.9999999646790058, 2.6676246437483133e-8]"
18,"[1.34269743157126e-28, 0.999999999999992, 3.5341392460677343e-15]"
19,"[3.707882592975968e-51, 1.0000000000000013, 4.365372649866951e-34]"
20,"[1.9909223935053186e-70, 0.9999999999999949, 8.328663929034503e-46]"
21,"[2.2342721956655597e-82, 1.0000000000000016, 5.029098301978304e-52]"
22,"[2.3030506731418802e-87, 1.0000000000000027, 6.277820358329908e-58]"
23,"[9.124166689983471e-42, 0.9999999999999934, 3.851665248649377e-56]"
24,"[4.431417614052032e-84, 0.9999999999999993, 1.8706735427175618e-98]"
25,"[7.686020224700772e-137, 0.9999999999999952, 2.562006741566924e-137]"
26,"[3.079651605049939e-172, 1.0000000000000038, 8.105946902202901e-159]"
27,"[1.2952019095441801e-207, 1.0000000000000007, 2.691925665253282e-180]"
28,"[1.4817422642126492e-232, 1.000000000000002, 2.4317654094905405e-191]"
29,"[3.3228650197837136e-247, 0.9999999999999983, 8.179993657322471e-206]"
30,"[3.423151829806053e-20, 1.0000000000000095, 1.7115759148707193e-20]"
