Timestep,Probs
1,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
3,"[0.3333333333333371, 0.3333333333333314, 0.3333333333333314]"
4,"[0.33333333333333715, 0.3333333333333315, 0.3333333333333315]"
5,"[0.33333333333278914, 0.33333333333360543, 0.33333333333360543]"
6,"[0.3333333333327917, 0.3333333333336041, 0.3333333333336041]"
7,"[0.33333333333279686, 0.3333333333336016, 0.3333333333336016]"
8,"[0.000332636675170038, 0.9993578109050416, 0.0003095524197883648]"
9,"[3.53877375699781e-11, 0.9999944277741156, 5.572190496658449e-6]"
10,"[3.53877375699781e-11, 0.9999944277741156, 5.572190496658449e-6]"
11,"[1.1745629248514299e-14, 0.999999998150509, 1.8494791729036878e-9]"
12,"[3.9192257338157844e-18, 0.9999999999993828, 6.171254187609927e-13]"
13,"[1.3077509189724145e-21, 0.9999999999999998, 2.0591983935634764e-16]"
14,"[4.363647195456893e-25, 1.0, 6.871044899975619e-20]"
15,"[1.4562699137311346e-28, 1.0, 2.2930593590921712e-23]"
16,"[4.5367343488822817e-32, 1.0, 7.141619041645035e-27]"
17,"[8.09807331511231e-34, 1.0, 1.2813736809873035e-28]"
18,"[2.701925844713814e-37, 1.0, 4.275634245882289e-32]"
19,"[9.310610964353636e-41, 1.0, 1.4266846171950407e-35]"
20,"[4.790841673937021e-41, 1.0, 4.7479075917548646e-39]"
21,"[4.790881266365952e-41, 1.0, 1.5800595977706605e-42]"
22,"[4.790881174174661e-41, 1.0, 5.2722723035387855e-46]"
23,"[4.790880530068387e-41, 1.0, 1.580048435321602e-42]"
24,"[4.79115755313547e-41, 1.0, 4.747840503511704e-39]"
25,"[4.671861343044718e-41, 1.0, 1.4266745383263066e-35]"
26,"[6.801452877403655e-38, 1.0, 4.275634179915622e-32]"
27,"[2.0383192175859716e-34, 1.0, 1.2813736401675569e-28]"
28,"[6.108681139254817e-31, 1.0, 3.84017514130478e-25]"
29,"[1.8307232738579024e-27, 1.0, 1.150870023664476e-21]"
30,"[5.4865324102153115e-24, 1.0, 3.449066155953423e-18]"
31,"[1.644270282848987e-20, 0.9999999999999896, 1.0336577932639689e-14]"
32,"[4.927686974293738e-17, 0.9999999999690224, 3.0977522958808284e-11]"
33,"[1.4846219803186344e-13, 0.9999999066702392, 9.332961229150199e-8]"
34,"[4.471776622701366e-10, 0.9997188910607857, 0.00028110849203652277]"
35,"[7.284081904952785e-7, 0.5421013129918806, 0.45789795859992893]"
36,"[3.724537005600467e-5, 0.5430359193443918, 0.45692683528555217]"
37,"[0.0021075535732939707, 0.5245294292204719, 0.4733630172062343]"
38,"[0.0021075535732939707, 0.5245294292204719, 0.4733630172062343]"
39,"[0.004000574234817962, 0.9957003945732316, 0.00029903119195033383]"
40,"[0.004001770815113141, 0.9959981299022812, 9.928260569015146e-8]"
41,"[0.004001771212052662, 0.9959982287549944, 3.295294856483233e-11]"
42,"[0.004001771212185033, 0.995998228787804, 1.0995583212579746e-14]"
43,"[0.004001771212185075, 0.9959982287878149, 3.668960405795178e-18]"
44,"[0.004001771212185076, 0.995998228787815, 1.2242434206229007e-21]"
45,"[0.004001771212185075, 0.9959982287878149, 4.085004435003858e-25]"
46,"[0.004001771212185076, 0.995998228787815, 1.3630672588030379e-28]"
47,"[0.004001771212185076, 0.995998228787815, 4.5482259684595336e-32]"
48,"[0.004001771212185076, 0.995998228787815, 1.517642449596948e-35]"
49,"[0.004001771212185076, 0.995998228787815, 5.0506070255054737e-39]"
50,"[0.004001771212185076, 0.995998228787815, 1.6810726183041967e-42]"
51,"[0.004001771212185076, 0.9959982287878149, 5.21406450117125e-46]"
52,"[0.1833467497563605, 0.8166532502436396, 4.423123880084743e-46]"
53,"[0.998519656441208, 0.001480343558792091, 8.017779312762182e-49]"
54,"[0.9999995394605695, 4.605394304868504e-7, 2.494006849787675e-52]"
55,"[0.9999999917152195, 8.284780514035277e-9, 4.498321713407229e-54]"
