Timestep,Probs
1,"[0.333333333333333, 0.333333333333333, 0.333333333333333]"
2,"[0.333333333333333, 0.333333333333333, 0.333333333333333]"
3,"[0.333333333333333, 0.333333333333333, 0.333333333333333]"
4,"[0.45652171652767204, 6.116041670398324e-8, 0.5434782223119111]"
5,"[0.4505494561602432, 7.276632119364259e-28, 0.5494505438397572]"
6,"[0.9166633820130616, 2.75881233300273e-64, 0.08333661798693849]"
7,"[0.9999999999999961, 9.999176663963271e-40, 2.786116891532432e-15]"
8,"[0.9999999999999997, 1.2530809020382286e-111, 6.983608479485541e-50]"
9,"[0.9999999999999974, 1.2532658249490058e-74, 1.2532658249490058e-74]"
10,"[1.0, 9.827792901126846e-125, 3.876950341115064e-195]"
